Weights,Return,Risk,SharpeRatio,VaR_95
[0.09761928 0.27698352 0.41763305 0.20776416],0.20826650609057057,0.23837580549659862,0.8317392181539985,0.20826650609057057
[0.31671227 0.39120949 0.1687887  0.12328953],0.22863107226414656,0.23385739379283024,0.9348905703525782,0.22863107226414656
[0.31899207 0.32551221 0.30569747 0.04979826],0.22030992007125091,0.2329821777908116,0.9026867293689842,0.22030992007125091
[0.2865359  0.1735527  0.34941044 0.19050096],0.221764302540871,0.23643310793459296,0.8956626438267421,0.221764302540871
[0.42182464 0.19629346 0.09087551 0.29100639],0.2443947129106474,0.24349683010993364,0.9626191552671267,0.2443947129106474
[0.15927868 0.55548697 0.13449448 0.15073987],0.22168209754631782,0.23641037002713078,0.8954010668906989,0.22168209754631782
[0.14178494 0.28927768 0.19539338 0.373544  ],0.22635816046998214,0.24460754185677774,0.884511404790061,0.22635816046998214
[0.11806879 0.13557683 0.3923049  0.35404948],0.2159773604365746,0.2472892456627657,0.832941035848647,0.2159773604365746
[0.34252382 0.24504847 0.07776946 0.33465824],0.24182697520379337,0.24364595331284375,0.9514911782923203,0.24182697520379337
[0.34296412 0.00101454 0.32117773 0.33484361],0.2316735074007727,0.24790014829502288,0.8942048196637696,0.2316735074007727
[0.2256248  0.46888017 0.02541663 0.2800784 ],0.23501015135908415,0.24095013089417394,0.9338453169710429,0.23501015135908415
[0.3890678  0.22105218 0.31616884 0.07371118],0.2249446476579717,0.2351703302548045,0.9139956023580079,0.2249446476579717
[0.07673958 0.22450335 0.5525027  0.14625437],0.1990921464604431,0.24105681900456058,0.7844297756906252,0.1990921464604431
[0.02543182 0.11900573 0.25183684 0.60372562],0.2255899363749169,0.27150265172258,0.7940619916862012,0.2255899363749169
[0.38065154 0.02716563 0.25936581 0.33281702],0.23643607493509927,0.2472872969297218,0.9156801734116234,0.23643607493509927
[0.60434073 0.2285402  0.11047357 0.0566455 ],0.24577719316930013,0.24594009414359014,0.9586773315279107,0.24577719316930013
[0.58217813 0.01943957 0.13829861 0.26008368],0.2508397614852602,0.25198337695095263,0.9557763865198875,0.2508397614852602
